RECORD_KUBUN,FORMAT_NO,FORMAT_MTI,FORMAT_FC,FORMAT_MRC,FORMAT_UC,FORMAT_IRN,FORMAT_OI_START,FORMAT_OI_END,ITEM_START,ITEM_END
0,1,1644,603,0,0,0,0,0,1,117
0,2,1644,680,0,0,0,0,0,118,167
0,4,1644,685,0,0,0,0,0,168,325
0,6,1644,691,0,0,0,0,0,326,386
0,7,1644,693,0,0,0,0,0,387,394
0,8,1644,695,0,0,0,0,0,395,403
0,9,1644,695,0,0,0,0,0,404,412
0,10,1644,696,0,1,0,1,1,413,497
0,11,1644,696,0,1,1,2,999,498,584
0,12,1644,696,0,5,0,1,999,585,694
0,13,1644,696,0,6,0,1,999,695,868
0,14,1644,696,0,98,0,1,1,869,974
0,15,1644,696,0,98,2,1,1,975,1076
0,16,1644,696,0,98,950,2,999,1077,1176
0,17,1644,696,0,99,0,1,999,1177,1193
0,18,1644,697,0,0,0,0,0,1194,1201
0,19,1644,697,0,0,0,0,0,1202,1215
0,20,1644,699,0,0,0,0,0,1216,1276
0,21,1740,700,0,0,0,0,0,1277,1400
0,22,1740,780,0,0,0,0,0,1401,1523
0,22,1740,781,0,0,0,0,0,1401,1523
0,22,1740,782,0,0,0,0,0,1401,1523
0,22,1740,783,0,0,0,0,0,1401,1523
0,23,1240,205,0,0,0,0,0,1524,1804
0,23,1240,282,0,0,0,0,0,1524,1804
0,24,1442,451,0,0,0,0,0,1805,2090
0,24,1442,454,0,0,0,0,0,1805,2090
0,25,1644,640,0,0,0,0,0,2091,2152
0,26,1240,200,0,0,0,0,0,2153,2410
0,27,1442,450,0,0,0,0,0,2411,2696
0,27,1442,453,0,0,0,0,0,2411,2696
0,28,1644,696,0,10,0,1,1,2697,2723
0,29,1644,696,0,7,0,1,999,2724,2835
0,30,1644,696,0,8,0,1,999,2836,2981
0,31,1644,696,0,9,0,1,1,2982,3049
0,32,1644,696,0,9,1,2,999,3050,3138
0,33,1644,696,0,11,0,1,1,3139,3294
0,34,1644,696,0,11,1,2,999,3295,3403
